26.5,27.0,27.25,27.75,28.0,27.5,27.75,29.0
27.25,27.25,27.75,29.25,28.5,27.75,28.25,28.75
26.5,26.75,29.0,31.0,30.0,27.5,27.5,28.5
25.75,27.0,28.75,31.5,29.5,27.25,27.75,28.0
26.5,26.75,28.0,31.5,30.25,28.75,27.5,28.5
27.0,28.0,30.0,30.75,30.25,30.0,29.25,27.75
26.5,28.25,29.25,30.0,29.75,29.75,30.0,28.25
27.25,29.75,29.25,29.75,29.25,29.75,29.5,28.25
26.25,26.5,27.0,27.25,27.5,27.75,28.25,28.25
26.75,26.75,26.75,28.5,28.25,27.75,28.0,28.5
26.0,26.25,27.75,30.5,30.0,27.5,27.5,28.75
26.0,27.0,27.0,31.0,30.25,27.25,27.75,28.75
26.5,26.25,27.75,30.5,30.75,28.5,27.0,28.0
26.25,28.0,29.75,30.0,30.0,29.5,29.0,28.5
26.75,28.5,29.0,29.75,29.75,29.5,29.5,28.25
27.0,29.25,29.5,29.5,29.25,29.0,30.0,28.25
26.25,26.25,27.0,27.75,27.5,27.5,28.0,28.75
26.5,27.0,27.0,28.25,28.5,28.25,28.0,29.25
26.5,26.25,27.75,30.75,30.5,27.75,27.25,28.25
26.25,26.5,27.25,30.5,30.5,27.5,27.25,28.0
26.25,27.0,27.75,30.75,30.75,28.25,27.5,28.75
26.5,28.5,30.0,30.0,30.25,30.0,29.25,27.75
26.75,29.0,29.25,29.5,29.75,30.25,29.5,28.0
26.75,29.25,29.0,29.25,29.25,29.0,29.75,27.75
26.25,26.25,27.0,27.75,27.75,27.75,28.0,28.5
26.75,27.25,27.25,28.75,28.25,27.75,28.0,28.75
26.75,26.25,28.5,30.25,30.5,27.5,27.5,28.25
26.25,26.75,27.0,30.75,31.0,27.5,27.0,28.25
26.25,27.0,27.75,31.0,31.0,28.5,27.5,28.5
26.75,28.0,30.5,30.0,30.5,29.5,29.0,28.0
26.25,28.25,29.25,30.0,29.5,29.75,29.5,27.75
27.0,29.0,29.25,29.75,30.0,29.25,30.25,28.5
26.25,27.0,27.5,28.0,28.5,28.0,28.25,29.25
26.75,27.25,27.25,29.0,29.0,28.25,28.75,29.0
26.5,26.5,27.5,30.5,31.25,28.25,27.5,28.75
26.0,27.0,27.25,30.75,31.0,28.0,27.75,28.5
26.5,26.75,27.75,30.75,31.5,28.75,27.75,28.75
26.75, 28.25,30.5,30.25,31.0,30.0,29.25,28.75
27.0,28.0,30.0,29.5, 30.25,29.75,30.25,28.25
27.0,28.75,29.75,29.75,30.0,29.0,30.25,29.0
26.5,26.75,27.25,27.75,27.75,28.5,28.25,29.5
26.75,27.0,27.0,27.0,28.75,29.75,28.75,29.0
26.5,26.25,27.0,27.5,30.0,31.75,29.25,28.75
26.0,26.75,26.0,26.75,30.25,32.25,28.75,29.0
26.75,26.25,27.0,28.5,30.75,31.75,29.0,29.25
26.75,27.0,28.75,30.25,30.5,30.75,30.25,29.25
26.5,27.25,29.25,29.75,30.75,30.5,30.25,29.25
26.75,27.75,30.0,29.25,29.75,30.25,30.0,30.0
26.75,26.25,27.0,27.25,27.5,28.5,28.25,28.75
26.75,26.75,26.5,27.5,28.25,30.0,29.0,29.25
26.75,26.25,26.75,26.75,29.5,30.75,29.5,29.25
26.5,26.75,26.5,26.75,29.25,31.5,30.0,28.5
26.25,26.25,27.0,28.0,29.75,31.75,29.5,29.0
26.75,26.75,28.25,30.25,30.5, 31.5,30.25, 29.75
26.0,26.75,28.5,29.75,30.0,30.25,30.0,29.5
26.5,27.5,29.5,30.0,29.75,30.0,29.75,29.75
26.75,26.75,27.25,27.75,27.75,28.0,28.5,29.25
26.5,27.0,26.75,27.25,28.0,29.75,29.5,30.0
26.75,26.5,27.0,26.5,28.75,30.75,30.75,29.5
25.75,26.5,26.5,26.5,27.75,31.75,31.0,29.0
26.5,26.75,26.75,28.25,29.75,32.0,29.75,30.0
26.75,27.25,27.5,30.0,30.0,31.0,30.75,30.25
26.25,26.75,28.25,29.75,30.0,30.0,30.25,30.0
26.25,27.0,29.5,29.5,30.0,30.0,29.5,29.75
